#######################################
BACTERIA
#######################################

query_id	kraken_classified	kraken_name	blast_subject_ids	microbial_group
contig_12675	True	C	contig_12675[]	Bacillati (taxid 1783272)	149	2:73 1783272:6 2:36	Unknown	98.66	bact
contig_12676	True	C	contig_12676[]	Bacillati (taxid 1783272)	150	2:73 1783272:6 2:37	Unknown	98.67	bact
contig_1736	True	C	contig_1736[]	root (taxid 1)	150	1:116	Unknown	100.0	bact
contig_21944	True	C	contig_21944[]	Telluria group (taxid 2895353)	149	1224:2 28216:7 1224:5 2:1 28216:4 2:19 1224:17 75682:3 2:5 75682:9 2895353:18 80840:5 2895353:6 80840:5 1224:9	Unknown	96.64	bact
contig_24647	True	C	contig_24647[]	Salmonella (taxid 590)	150	0:9 590:1 0:11 543:23 2:5 543:12 2:1 543:2 2:5 543:1 2:9 543:37	Unknown	100.0	bact
contig_27202	True	C	contig_27202[]	Betaproteobacteria (taxid 28216)	150	2:18 0:5 2:5 0:20 2:5 3379134:3 1224:3 28216:3 1224:5 2:7 3379134:5 1224:5 3379134:3 1224:1 3379134:6 2:1 1224:21	Unknown	96.67	bact
contig_27203	True	C	contig_27203[]	Betaproteobacteria (taxid 28216)	150	2:31 3379134:5 2:17 3379134:3 1224:3 28216:3 1224:5 2:7 3379134:5 1224:5 3379134:3 1224:1 3379134:6 2:1 1224:21	Unknown	97.33	bact
contig_27204	True	C	contig_27204[]	Betaproteobacteria (taxid 28216)	150	2:31 3379134:5 2:17 3379134:3 1224:3 28216:3 1224:5 0:17 3379134:3 0:1 3379134:5 0:4 1224:19	Unknown	96.67	bact
contig_27205	True	C	contig_27205[]	Vibrio cholerae (taxid 666)	150	2:31 3379134:5 2:9 1236:1 2:1 666:6 2682228:6 0:3 1224:5 2:7 3379134:5 1224:5 3379134:3 1224:1 3379134:6 2:1 1224:21	Unknown	96.67	bact
contig_30989	True	C	contig_30989[]	Enterobacteriaceae (taxid 543)	150	543:50 91347:3 543:34 91347:4 543:14 91347:2 543:9	Unknown	99.0	bact
contig_30990	True	C	contig_30990[]	Enterobacteriaceae (taxid 543)	150	543:50 91347:3 543:34 91347:4 543:14 91347:2 543:9	Unknown	99.67	bact
contig_31142	True	C	contig_31142[]	Hyphomicrobiales (taxid 356)	149	356:3 2:36 0:6 138074:1 2:5 0:1 2:5 0:1 138074:3 2:2 0:3 2:1 0:2 2:32 356:3 3379134:2 28211:5 2:4	Unknown	97.32	bact
contig_31143	True	C	contig_31143[]	Hyphomicrobiales (taxid 356)	149	356:3 2:98 356:3 3379134:2 28211:5 2:4	Unknown	97.99	bact
contig_33106	True	C	contig_33106[]	Enterobacteriaceae (taxid 543)	150	543:11 1236:5 543:48 91347:2 543:10 0:2 91347:5 543:5 0:7 543:8 91347:2 543:11	Unknown	96.67	bact
contig_33107	True	C	contig_33107[]	Enterobacteriaceae (taxid 543)	150	543:11 1236:5 543:48 91347:2 1236:5 543:7 91347:5 543:20 91347:2 543:11	Unknown	97.0	bact
contig_36059	True	C	contig_36059[]	Salmonella enterica subsp. enterica (taxid 59201)	149	1224:5 2:68 131567:7 59201:2 0:1 131567:2 0:12 2576903:6 0:2 2:10	Unknown	97.05	bact
contig_36060	True	C	contig_36060[]	Pseudomonadota (taxid 1224)	149	1224:5 2:68 131567:32 2:10	Unknown	96.93	bact
contig_39072	True	C	contig_39072[]	Lactobacillales (taxid 186826)	150	2:34 1783272:3 2:2 1239:4 186826:5 1239:2 1783272:15 2:3 186826:5 2:3 1783272:15 2:19 0:3 2815577:1 0:2	Unknown	97.33	bact
contig_39073	True	C	contig_39073[]	Lactobacillales (taxid 186826)	149	2:34 1783272:3 2:2 1239:4 186826:5 1239:2 1783272:15 2:3 186826:5 2:3 1783272:15 2:24	Unknown	96.45	bact
contig_39074	True	C	contig_39074[]	Lactobacillales (taxid 186826)	150	2:34 1783272:3 2:2 1239:4 186826:5 1239:2 1783272:15 2:3 186826:5 2:3 1783272:15 2:25	Unknown	96.47	bact
contig_39075	True	C	contig_39075[]	Lactobacillales (taxid 186826)	150	2:34 1783272:3 2:2 1239:4 186826:5 1239:2 1783272:15 2:3 0:23 2:25	Unknown	97.33	bact
contig_42176	True	C	contig_42176[]	Acinetobacter (taxid 469)	148	1224:1 1236:5 0:19 1236:2 0:10 1236:3 1224:5 1236:3 469:1 1224:2 1236:7 3379134:2 469:15 1236:34 2:5	Unknown	98.35	bact
contig_42177	True	C	contig_42177[]	Acinetobacter (taxid 469)	148	1224:1 1236:7 2:3 1224:5 1236:24 1224:5 1236:3 469:1 1224:2 1236:7 3379134:2 469:15 1236:34 2:5	Unknown	99.32	bact
